Johanna Knutsson,Berlin,Germany,23,2019,
John Digweed,London,United Kingdom,62,2019,
John Talabot,Barcelona,Spain,63,2019,
Joker,London,United Kingdom,16,2019,
Jon Hopkins,London,United Kingdom,46,2019,
Jonas Kopp,Barcelona,Spain,36,2019,
Joris Voorn,Amsterdam,Netherlands,73,2019,
Joseph Capriati,Naples,Italy,91,2019,
Josey Rebelle,London,United Kingdom,71,2019,
Josh Wink,Phillidelphia,USA,51,2019,
Joy Orbison,London,United Kingdom,50,2019,
Joyce Muniz,Vienna,Austria,32,2019,
Juan Atkins,Detroit,USA,29,2019,
Juan Maclean,New York City,USA,37,2019,
Juju & Jordash,Amsterdam,Netherlands,16,2019,
Julia Govor,New York City,USA,46,2019,
Julia Holter,Los Angeles,USA,8,2019,
Julian Jeweil,Marseille,France,44,2019,
Julian Perez,Barcelona,Spain,28,2019,
Juliana Huxtable,New York City,USA,31,2019,
Julie Marghilano,Berlin,Germany,19,2019,
Juliet Fox,Berlin,Germany,34,2019,
Julietta,Munich,Germany,9,2019,
Jus-Ed,Berlin,Germany,38,2019,
Justice,Paris,France,11,2019,
K-HAND,Detroit,USA,30,2019,
Kablam,Stockholm,Sweden,9,2019,
Kaitlyn Aurelia Smith,Los Angeles,USA,2,2019,
Kamma,Amsterdam,Netherlands,46,2019,
Kampire,Kampala,Uganda,39,2019,
Kangding Ray,Berlin,Germany,41,2019,
Karen Gwyer,Berlin,Germany,12,2019,
Karenn,London,United Kingdom,27,2019,
Karizma,Baltimore,USA,17,2019,
Karotte,Frankfurt,Germany,51,2019,
KAS:ST,Paris,France,48,2019,
Kassem Mosse,Berlin,Germany,23,2019,
Kate Miller,Berlin,Germany,28,2019,
Kate Simko,London,United Kingdom,12,2019,
Kate Tempest,London,United Kingdom,8,2019,
Kelly Lee Owens,London,United Kingdom,16,2019,
Kelsey Lu,New York City,USA,9,2019,
Kenneth Christiansen,Copenhagen,Denmark,8,2019,
